2016-06-05T23:18:22.071+0200,13198,1,Ace of Clubs
2016-06-05T23:18:27.079+0200,13198,2,Jack of Clubs
2016-06-05T23:18:29.103+0200,13199,1,6 of Spades
2016-06-05T23:18:32.092+0200,13198,3,Jack of Spades
2016-06-05T23:18:34.111+0200,13199,2,7 of Hearts
2016-06-05T23:18:36.141+0200,13200,1,5 of Spades
2016-06-05T23:18:37.112+0200,13198,4,6 of Hearts
2016-06-05T23:18:39.126+0200,13199,3,4 of Diamonds
2016-06-05T23:18:41.148+0200,13200,2,Jack of Hearts
2016-06-05T23:18:42.126+0200,13198,5,Jack of Diamonds
2016-06-05T23:18:43.167+0200,13201,1,7 of Diamonds
2016-06-05T23:18:44.158+0200,13199,4,Jack of Hearts
2016-06-05T23:18:46.161+0200,13200,3,8 of Diamonds
2016-06-05T23:18:47.153+0200,13198,6,Ace of Diamonds
2016-06-05T23:18:48.180+0200,13201,2,3 of Clubs
2016-06-05T23:18:49.186+0200,13199,5,Queen of Diamonds
2016-06-05T23:18:50.210+0200,13202,1,Queen of Clubs
2016-06-05T23:18:51.177+0200,13200,4,8 of Clubs
2016-06-05T23:18:52.175+0200,13198,7,9 of Diamonds
2016-06-05T23:18:53.216+0200,13201,3,5 of Diamonds
2016-06-05T23:18:54.207+0200,13199,6,7 of Clubs
2016-06-05T23:18:55.217+0200,13202,2,Ace of Clubs
2016-06-05T23:18:56.192+0200,13200,5,3 of Spades
2016-06-05T23:18:57.198+0200,13198,8,10 of Clubs
2016-06-05T23:18:57.248+0200,13203,1,Jack of Clubs
2016-06-05T23:18:58.232+0200,13201,4,Queen of Spades
2016-06-05T23:18:59.214+0200,13199,7,8 of Spades
2016-06-05T23:19:00.238+0200,13202,3,10 of Clubs
2016-06-05T23:19:01.230+0200,13200,6,5 of Clubs
2016-06-05T23:19:02.251+0200,13198,9,5 of Spades
2016-06-05T23:19:02.283+0200,13203,2,7 of Spades
2016-06-05T23:19:03.252+0200,13201,5,2 of Spades
2016-06-05T23:19:04.228+0200,13199,8,3 of Hearts
2016-06-05T23:19:04.324+0200,13204,1,4 of Hearts
2016-06-05T23:19:05.257+0200,13202,4,Jack of Spades
2016-06-05T23:19:06.244+0200,13200,7,King of Hearts
